provider_id,program_id,provider_type,legal_name,normalized_name,jurisdiction,authorization_date,current_status,practice_areas_raw,practice_areas_list,ownership_structure,uses_technology,uses_ai,website,first_seen_snapshot_id,last_seen_snapshot_id,source_url,retrieved_at,scraper_version
prov_az_abs_64e79a97eb77,prog_az_abs,entity,"Red Rock Securities Law, Inc (Formerly, Regulation D Resources Enterprises, Inc)",red rock securities law formerly regulation d resources enterprises,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_65ee1127b135,prog_az_abs,entity,"Patriot Law Group, LLC (dba Ninth Avenue Capital Legal Fund, LP)",patriot law group dba ninth avenue capital legal fund lp,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_66acb9660c35,prog_az_abs,entity,"KWP Estate Planning, LLC (Keystone Wealth Partners)",kwp estate planning keystone wealth partners,AZ,,exited,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_670356b0d7a9,prog_az_abs,entity,"First Law, LLC",first law,AZ,,exited,"[""All Arizona Counties""]",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
prov_az_abs_67ff70d6c525,prog_az_abs,entity,"Next League Executive Board, LLC",next league executive board,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_6b62c92a2eee,prog_az_abs,entity,"Big Auto - Accident Attorneys, PLLC (dba Big Auto Injury Attorneys)",big auto accident attorneys dba big auto injury attorneys,AZ,,active,"[""Plantiff Personal Injury Services""]",,,,,https://www.bigauto.com,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_6dbab2d37c17,prog_az_abs,entity,"Big League Law, LLC",big league law,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_6f9e1182cde2,prog_az_abs,entity,"eLegacy Law, PLLC",elegacy law,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_6fc0ff1aa571,prog_az_abs,entity,"Scout Law Group, LLC",scout law group,AZ,,exited,"[""Maricopa""]",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
prov_az_abs_70a5ff81d5c0,prog_az_abs,entity,OCK Law Firm,ock law firm,AZ,,exited,"",,,,,,snap_9f99d17bf219186a,snap_9f99d17bf219186a,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-06-29T02:04:20.369320+0000,0.1.0
